number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,False,False,30,11,19,OPEN,1743416024000,53.337494,-6.26199
59,dublin,DENMARK STREET GREAT,Denmark Street Great,False,False,20,20,0,OPEN,1743416170000,53.35561,-6.261397
95,dublin,ROYAL HOSPITAL,Royal Hospital,False,False,40,38,2,OPEN,1743416018000,53.343897,-6.29706
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),False,False,40,40,0,OPEN,1743415959000,53.346985,-6.297804
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),False,False,36,36,0,OPEN,1743415885000,53.355954,-6.278378
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,False,False,40,7,33,OPEN,1743416001000,53.337824,-6.256035
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),False,False,40,40,0,OPEN,1743415942000,53.346603,-6.296924
22,dublin,TOWNSEND STREET,Townsend Street,False,False,20,14,6,OPEN,1743416118000,53.345922,-6.254614
50,dublin,GEORGES LANE,George's Lane,False,False,40,40,0,OPEN,1743415976000,53.35023,-6.279696
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,False,False,40,39,1,OPEN,1743415960000,53.356307,-6.273717
12,dublin,ECCLES STREET,Eccles Street,False,False,20,19,1,OPEN,1743415888000,53.359246,-6.269779
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,False,False,30,11,19,OPEN,1743415986000,53.330362,-6.265163
78,dublin,MATER HOSPITAL,Mater Hospital,False,False,40,38,2,OPEN,1743416079000,53.359967,-6.264828
2,dublin,BLESSINGTON STREET,Blessington Street,False,False,20,20,0,OPEN,1743416154000,53.356769,-6.26814
75,dublin,JAMES STREET,James Street,False,False,40,20,20,OPEN,1743416261000,53.343456,-6.287409
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,False,False,40,39,1,OPEN,1743416176000,53.356717,-6.256359
26,dublin,MERRION SQUARE WEST,Merrion Square West,False,False,20,0,20,OPEN,1743415834000,53.339764,-6.251988
65,dublin,CONVENTION CENTRE,Convention Centre,False,False,40,7,33,OPEN,1743415893000,53.34744,-6.238523
15,dublin,HARDWICKE STREET,Hardwicke Street,False,False,16,16,0,OPEN,1743415842000,53.355473,-6.264423
86,dublin,PARKGATE STREET,Parkgate Street,False,False,38,38,0,OPEN,1743415907000,53.347972,-6.291804
35,dublin,SMITHFIELD,Smithfield,False,False,30,25,5,OPEN,1743416080000,53.347692,-6.278214
10,dublin,DAME STREET,Dame Street,False,False,16,1,15,OPEN,1743415985000,53.344007,-6.266802
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),False,False,25,20,5,OPEN,1743416214000,53.347106,-6.292041
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,False,False,20,20,0,OPEN,1743416012000,53.352149,-6.260533
64,dublin,SANDWITH STREET,Sandwith Street,False,False,40,18,22,OPEN,1743416047000,53.345203,-6.247163
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,False,False,29,16,11,OPEN,1743416114000,53.353331,-6.249319
85,dublin,ROTHE ABBEY,Rothe Abbey,False,False,35,35,0,OPEN,1743416088000,53.338776,-6.30395
107,dublin,CHARLEVILLE ROAD,Charleville Road,False,False,40,40,0,OPEN,1743416219000,53.359157,-6.281866
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,False,False,23,23,0,OPEN,1743416274000,53.349013,-6.260311
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,False,False,30,28,2,OPEN,1743416019000,53.358437,-6.260641
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,False,False,40,28,11,OPEN,1743415951000,53.335211,-6.2509
57,dublin,GRATTAN STREET,Grattan Street,False,False,23,17,6,OPEN,1743415826000,53.339629,-6.243778
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),False,False,40,40,0,OPEN,1743415774000,53.341359,-6.292951
41,dublin,HARCOURT TERRACE,Harcourt Terrace,False,False,20,19,1,OPEN,1743415899000,53.332763,-6.257942
3,dublin,BOLTON STREET,Bolton Street,False,False,20,3,17,OPEN,1743415909000,53.351182,-6.269859
40,dublin,JERVIS STREET,Jervis Street,False,False,21,15,6,OPEN,1743416101000,53.3483,-6.266651
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,False,False,29,21,8,OPEN,1743416042000,53.346057,-6.268001
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),False,False,40,37,3,OPEN,1743415885000,53.354663,-6.278681
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,False,False,30,30,0,OPEN,1743415864000,53.356299,-6.258586
39,dublin,WILTON TERRACE,Wilton Terrace,False,False,20,12,8,OPEN,1743416122000,53.332383,-6.252717
83,dublin,EMMET ROAD,Emmet Road,False,False,40,39,1,OPEN,1743415911000,53.340714,-6.308191
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),False,False,40,35,5,OPEN,1743416298000,53.347802,-6.292432
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,False,False,30,7,23,OPEN,1743415829000,53.34218,-6.254485
88,dublin,BLACKHALL PLACE,Blackhall Place,False,False,30,29,1,OPEN,1743415869000,53.3488,-6.281637
